kernel_width,elems_per_pe,left_cycles,middle_cycles,right_cycles,walltime
28,261,3768,4626,9180,18.3170006275177
28,271,3908,4801,9530,18.7142596244812
28,281,4048,4976,9880,18.818115234375
28,291,4188,5151,10230,18.642226934432983
28,301,4328,5326,10580,20.342429637908936
28,311,4468,5501,10930,21.82377338409424
28,321,4608,5676,11280,21.68810510635376
28,331,4748,5851,11630,22.076939344406128
28,341,4888,6026,11980,22.78395700454712
28,351,5028,6201,12330,23.563793897628784
28,361,5168,6376,12680,24.297910690307617
28,371,5308,6551,13030,24.352112293243408
28,381,5448,6726,13380,25.75739049911499
28,391,5588,6901,13730,25.960860013961792
28,401,5728,7076,14080,26.824519872665405
28,411,5868,7251,14430,26.46109104156494
28,421,6008,7426,14780,28.55894136428833
28,431,6148,7601,15130,28.900111436843872
28,441,6288,7776,15480,28.63540029525757
28,451,6428,7951,15830,30.1923668384552
28,461,6568,8126,16180,30.811027765274048
28,471,6708,8301,16530,30.982954502105713
28,481,6848,8476,16880,32.682027101516724
28,491,6988,8651,17230,29.889554738998413
32,1,27,54,27,1.4842114448547363
32,11,282,271,475,1.7815780639648438
32,21,446,467,871,2.5119242668151855
32,31,618,679,1283,2.523296594619751
32,41,789,882,1686,3.9707987308502197
32,51,957,1090,2094,4.750237464904785
32,61,1129,1293,2497,5.432872295379639
32,71,1297,1501,2905,6.24972939491272
32,81,1469,1704,3308,6.94887638092041
32,91,1636,1912,3716,7.696057319641113
32,101,1809,2115,4119,8.753235340118408
32,111,1975,2323,4527,9.222666501998901
32,121,2148,2526,4930,9.85802435874939
32,131,2315,2734,5338,10.542505741119385
32,141,2488,2937,5741,11.200302600860596
32,151,2655,3145,6149,12.10071611404419
32,161,2827,3348,6552,13.424658298492432
32,171,2995,3556,6960,14.098691940307617
32,181,3166,3759,7363,15.713488578796387
32,191,3335,3967,7771,14.732269048690796
32,201,3506,4170,8174,15.87669062614441
32,211,3675,4378,8582,16.537095546722412
32,221,3846,4581,8985,17.497025728225708
32,231,4015,4789,9393,18.046532154083252
32,241,4186,4992,9796,18.57666277885437
